,genre,genre_full,plot
Volver,Comedy,"Comedy, Crime, Drama","After her death, a mother returns to her home town in order to fix the situations she couldn't resolve during her life."
The Hidden Blade,Action,"Action, Drama, History","During the time of change of the mid-19th Century, Yaichiro is bid farewell by his fellow samurai friends Munezo and Samon as he leaves their clan's fiefdom on the northwest coast of Japan ..."
Blades of Glory,Comedy,"Comedy, Sport","In 2002, two rival Olympic ice skaters were stripped of their gold medals and permanently banned from men's single competition. Presently, however, they've found a loophole that will allow them to qualify as a pairs team."
Little Miss Sunshine,Comedy,"Comedy, Drama",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
Aqua Teen Hunger Force Colon Movie Film for Theaters,Action,"Animation, Action, Adventure","An action epic that explores the origins of Master Shake, Frylock, and Meatwad, better known as the Aqua Teen Hunger Force, who somehow become pitted in a battle over an immortal piece of exercise equipment."
Grandma's Boy,Comedy,Comedy,A thirty-five-year-old video game tester has to move in with his grandma and her two old lady roommates.
The Holiday,Comedy,"Comedy, Romance","Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love."
The Devil Wears Prada,Comedy,"Comedy, Drama","A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine."
Push,Action,"Action, Sci-Fi, Thriller",Two young Americans with special abilities must race to find a girl in Hong Kong before a shadowy government organization called Division does.
Juno,Comedy,"Comedy, Drama","Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child."
The Host,Action,"Action, Drama, Horror",A monster emerges from Seoul's Han River and focuses its attention on attacking people. One victim's loving family does what it can to rescue her from its clutches.
The Dark Knight,Action,"Action, Crime, Drama","When the menace known as the Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice."
9,Action,"Animation, Action, Adventure",A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.
Mister Lonely,Comedy,"Comedy, Drama","In Paris, a young American who works as a Michael Jackson lookalike meets Marilyn Monroe, who invites him to her commune in Scotland, where she lives with Charlie Chaplin and her daughter, Shirley Temple."
Were the World Mine,Comedy,"Adventure, Comedy, Fantasy","A bullied and demoralized gay student at an all-boys school uses a magical flower derived from Shakespeare's ""A Midsummer Night's Dream' to turn many in his community gay, including a comely rugby player for himself."
Starter for 10,Comedy,"Comedy, Drama, Romance","Set in 1985, working-class student Brian Jackson (McAvoy) navigates his first year at Bristol University."
Knocked Up,Comedy,"Comedy, Romance","For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child."
Priceless,Comedy,"Comedy, Romance","Through a set of wacky circumstances, a young gold digger mistakenly woos a mild-mannered bartender thinking he's a wealthy suitor."
Beerfest,Comedy,Comedy,"Two brothers travel to Germany for Oktoberfest, only to stumble upon a secret, centuries-old competition described as a ""Fight Club"" with beer games."
Eagle vs Shark,Comedy,"Comedy, Romance","Eagle vs Shark is the tale of two socially awkward misfits and the strange ways they try to find love; through revenge on high-school bullies, burgers, and video games."
Avatar,Action,"Action, Adventure, Fantasy",A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
Love & Other Drugs,Comedy,"Comedy, Drama, Romance",A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh.
In Bruges,Comedy,"Comedy, Crime, Drama","Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
Death at a Funeral,Comedy,Comedy,Chaos ensues when a man tries to expose a dark secret regarding a recently deceased patriarch of a dysfunctional British family.
Be Kind Rewind,Comedy,Comedy,"Two bumbling store clerks inadvertently erase the footage from all of the tapes in their video rental store. In order to keep the business running, they re-shoot every film in the store with their own camera, with a budget of zero dollars."
Forgetting Sarah Marshall,Comedy,"Comedy, Drama, Romance","Devastated Peter takes a Hawaiian vacation in order to deal with the recent break-up with his TV star girlfriend, Sarah. Little does he know, Sarah's traveling to the same resort as her ex - and she's bringing along her new boyfriend."
The Incredible Hulk,Action,"Action, Adventure, Sci-Fi","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into, whenever he loses his temper."
Clash of the Titans,Action,"Action, Adventure, Fantasy","Perseus demigod, son of Zeus, battles the minions of the underworld to stop them from conquering heaven and earth."
Lars and the Real Girl,Comedy,"Comedy, Drama, Romance",A delusional young man strikes up an unconventional relationship with a doll he finds on the Internet.
Take Me Home Tonight,Comedy,"Comedy, Drama, Romance","Four years after graduation, an awkward high school genius uses his sister's boyfriend's Labor Day party as the perfect opportunity to make his move on his high school crush."
Religulous,Comedy,"Documentary, Comedy, War",Bill Maher's take on the current state of world religion.
Priest,Action,"Action, Fantasy, Horror",A priest disobeys church law to track down the vampires who kidnapped his niece.
Caramel,Comedy,"Comedy, Drama, Romance",A romantic comedy centered on the daily lives of five Lebanese women living in Beirut.
Superbad,Comedy,Comedy,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
Tekkonkinkreet,Action,"Animation, Action, Adventure","In Treasure Town, life can be both peaceful and violent. This is never truer than for our heroes, Black and White - two street kids who claim to traverse the urban city as if it were their ..."
The Darjeeling Limited,Comedy,"Adventure, Comedy, Drama","A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other."
Step Brothers,Comedy,Comedy,Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.
The Kids Are All Right,Comedy,"Comedy, Drama, Romance",Two children conceived by artificial insemination bring their biological father into their non-traditional family life.
The Brothers Bloom,Comedy,"Adventure, Comedy, Drama","The Brothers Bloom are the best con men in the world, swindling millionaires with complex scenarios of lust and intrigue. Now they've decided to take on one last job - showing a beautiful and eccentric heiress the time of her life with a romantic adventure that takes them around the world."
Cloudy with a Chance of Meatballs,Action,"Animation, Action, Adventure","A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know, that things are about to take a turn for the worst."
The Avengers,Action,"Action, Adventure, Sci-Fi",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
Ponyo,Comedy,"Animation, Adventure, Comedy","A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him."
How About You...,Comedy,"Comedy, Drama",A young British woman struggling with the direction of her life spends Christmas watching over a retirement home filled with demanding residents.
Burn After Reading,Comedy,"Comedy, Crime, Drama",A disk containing mysterious information from a CIA agent ends up in the hands of two unscrupulous and daft gym employees who attempt to sell it.
How to Train Your Dragon,Action,"Animation, Action, Adventure","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
Kiss the Bride,Comedy,"Comedy, Romance","In high school, Matt and Ryan were best friends. More than friends, actually. But in the ensuing ten years, they've lost contact. So when Matt receives an invitation to Ryan's wedding he's ..."
Taken,Action,"Action, Crime, Thriller","A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
The Last Airbender,Action,"Action, Adventure, Family","Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom."
Salt,Action,"Action, Crime, Mystery",A CIA agent goes on the run after a defector accuses her of being a Russian spy.
Robin Hood,Action,"Action, Adventure, Drama","In 12th century England, Robin and his band of marauders confront corruption in a local village and lead an uprising against the crown that will forever alter the balance of world power."
You Don't Mess with the Zohan,Comedy,Comedy,An Israeli Special Forces Soldier fakes his death so he can re-emerge in New York City as a hair stylist.
Nick and Norah's Infinite Playlist,Comedy,"Comedy, Drama, Music","High school student Nick O'Leary, member of the Queercore band The Jerk Offs, meets college-bound Norah Silverberg when she asks him to be her boyfriend for five minutes."
The Adventures of Tintin,Action,"Animation, Action, Adventure",Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.
Surrogates,Action,"Action, Sci-Fi, Thriller","Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates."
Sherlock Holmes,Action,"Action, Adventure, Crime",Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
Fast & Furious,Action,"Action, Crime, Thriller","Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation."
A Serious Man,Comedy,"Comedy, Drama","Larry Gopnik, a Midwestern physics teacher, watches his life unravel over multiple sudden incidents. Though seeking meaning and answers amidst his turmoils, he seems to keep sinking."
500 Days of Summer,Comedy,"Comedy, Drama, Romance","An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her."
Choke,Comedy,"Comedy, Drama",A sex-addicted con-man pays for his mother's hospital bills by playing on the sympathies of those who rescue him from choking to death.
The Band's Visit,Comedy,"Comedy, Drama, Music","A band comprised of members of the Egyptian police force head to Israel to play at the inaugural ceremony of an Arab arts center, only to find themselves lost in the wrong town."
The Descendants,Comedy,"Comedy, Drama",A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.
A Complete History of My Sexual Failures,Comedy,"Documentary, Comedy",A humorous look at life for a loser in love.
The Proposal,Comedy,"Comedy, Drama, Romance",A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.
Happy-Go-Lucky,Comedy,"Comedy, Drama, Romance","A look at a few chapters in the life of Poppy, a cheery, colorful, North London schoolteacher whose optimism tends to exasperate those around her."
Up,Comedy,"Animation, Adventure, Comedy","Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway."
The Imaginarium of Doctor Parnassus,Comedy,"Adventure, Comedy, Fantasy",A traveling theater company gives its audience much more than they were expecting.
Cloverfield,Action,"Action, Horror, Sci-Fi",A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.
Yes Man,Comedy,"Comedy, Romance","A man challenges himself to say ""yes"" to everything for an entire year."
Adventureland,Comedy,"Comedy, Drama, Romance","In the summer of 1987, a college graduate takes a 'nowhere' job at his local amusement park, only to find it's the perfect course to get him prepared for the real world."
Paul,Comedy,"Adventure, Comedy, Sci-Fi",Two English comic book geeks traveling across the U.S. encounter an alien outside Area 51.
The Hangover,Comedy,Comedy,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
Morning Glory,Comedy,"Comedy, Drama, Romance",An upstart television producer accepts the challenge of reviving a struggling morning show program with warring co-hosts.
Pirate Radio,Comedy,"Comedy, Drama, Music","A band of rogue DJs that captivated Britain, playing the music that defined a generation and standing up to a government that wanted classical music, and nothing else, on the airwaves."
Leaves of Grass,Comedy,"Comedy, Crime, Drama","An Ivy League professor is lured back to his Oklahoma hometown, where his twin brother, a small-time pot grower, has concocted a scheme to take down a local drug lord."
"I Love You, Man",Comedy,"Comedy, Romance","Friendless Peter Klaven goes on a series of man-dates to find a Best Man for his wedding. But, when his insta-bond with his new B.F.F. puts a strain on his relationship with his fiancée, can the trio learn to live happily ever after?"
Zombieland,Comedy,"Adventure, Comedy, Horror","A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America."
Sita Sings the Blues,Comedy,"Animation, Comedy, Fantasy",An animated version of the epic Indian tale of Ramayana set to the 1920s jazz vocals of Annette Hanshaw.
Bronson,Action,"Action, Biography, Crime","A young man who was sentenced to seven years in prison for robbing a post office ends up spending three decades in solitary confinement. During this time, his own personality is supplanted by his alter-ego, Charles Bronson."
Away We Go,Comedy,"Comedy, Drama, Romance","A couple who is expecting their first child travel around the U.S. in order to find a perfect place to start their family. Along the way, they have misadventures and find fresh connections with an assortment of relatives and old friends who just might help them discover ""home"" on their own terms for the first time."
Whatever Works,Comedy,"Comedy, Romance","A middle-aged, misanthropic divorcée from New York City surprisingly enters a fulfilling, Pygmalion-type relationship with a much younger, unsophisticated Southern girl."
Chocolate,Action,"Action, Drama",An autistic girl with powerful martial art skills looks to settle her ailing mother's debts by seeking out the ruthless gangs that owe her family money.
Rango,Comedy,"Animation, Adventure, Comedy","Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff."
Observe and Report,Comedy,"Comedy, Crime, Drama","Bi-polar mall security guard Ronnie Barnhardt is called into action to stop a flasher from turning shopper's paradise into his personal peep show. But when Barnhardt can't bring the culprit to justice, a surly police detective is recruited to close the case."
The Muppets,Comedy,"Adventure, Comedy, Family",A Muppet fanatic with some help from his 2 human compatriots must regroup the Muppet gang to stop an avaricious oil mogul from taking down one of their precious life-longing treasures.
Ip Man,Action,"Action, Biography, Drama","During the Japanese invasion of 1937, when a wealthy martial artist is forced to leave his home and work to support his family, he reluctantly agrees to train others in the art of Wing Chun for self-defense."
In the Loop,Comedy,Comedy,A political satire about a group of skeptical American and British operatives attempting to prevent a war between two countries.
Hot Tub Time Machine,Comedy,"Comedy, Sci-Fi","A malfunctioning time machine at a ski resort takes a man back to 1986 with his two friends and nephew, where they must relive a fateful night and not change anything to make sure the nephew is born."
The Cabin in the Woods,Comedy,"Comedy, Horror","Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods."
Easy A,Comedy,"Comedy, Drama, Romance",A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.
The FP,Comedy,Comedy,"In a post apocalyptic future, two rival gangs fight for control of Frazier Park by playing ""Beat Beat Revelation"", a deadly version of Dance, Dance, Revolution(TM)."
Burke and Hare,Comedy,"Comedy, Thriller","A black comedy about two nineteenth century grave robbers, who find a lucrative business providing cadavers for an Edinburgh medical school."
Despicable Me,Comedy,"Animation, Comedy, Family","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
Fruit Fly,Comedy,"Comedy, Musical","Filipina performance artist Bethesda moves into an art commune to search for her long missing biological mother. Along the way, she comes to realize that she just might be a fairy princess, fag hag, fruit fly."
The Dark Knight Rises,Action,"Action, Thriller","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane."
I'm Still Here,Comedy,"Comedy, Drama, Music",Documents Joaquin Phoenix's transition from the acting world to a career as an aspiring rapper.
Inception,Action,"Action, Adventure, Sci-Fi",A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO.
Somewhere,Comedy,"Comedy, Drama","After withdrawing to the Chateau Marmont, a passionless Hollywood actor reexamines his life when his eleven-year-old daughter surprises him with a visit."
Barney's Version,Comedy,"Comedy, Drama","The picaresque and touching story of the politically incorrect, fully lived life of the impulsive, irascible and fearlessly blunt Barney Panofsky."
Submarine,Comedy,"Comedy, Drama, Romance","15-year-old Oliver Tate has two objectives: To lose his virginity before his next birthday, and to extinguish the flame between his mother and an ex-lover who has resurfaced in her life."
Bridesmaids,Comedy,"Comedy, Romance","Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef."
Trash Humpers,Comedy,"Comedy, Drama, Horror","Follows the lives of a small group of sociopathic elderly people in Nashville, Tennessee."
Horrible Bosses,Comedy,"Comedy, Crime",Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.
Love's Kitchen,Comedy,"Comedy, Drama, Romance","Rob Haley (Dougray Scott), an up-and-coming chef and restaurateur in London, is grief-stricken when he loses his wife. With encouragement from his infamous friend and real life TV Chef ..."
The New Tenants,Comedy,"Short, Comedy, Crime","A nosy neighbor, a drug dealer and an angry husband make for a move-in day that two men will never forget."
Beginners,Comedy,"Comedy, Drama, Romance","A young man is rocked by two announcements from his elderly father: that he has terminal cancer, and that he has a young male lover."
"Crazy, Stupid, Love.",Comedy,"Comedy, Drama, Romance","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars."
Exit Through the Gift Shop,Comedy,"Documentary, Comedy, Crime","The story of how an eccentric French shop-keeper and amateur film-maker attempted to locate and befriend Banksy, only to have the artist turn the camera back on its owner. The film contains..."
Midnight in Paris,Comedy,"Comedy, Fantasy, Romance","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight."
The Artist,Comedy,"Comedy, Drama, Romance","A silent movie star meets a young dancer, but the arrival of talking pictures sends their careers in opposite directions."
The Glitter Emergency,Comedy,"Short, Comedy, Music","In this silent film comedy set to Tchaikovsky's Violin Concerto, Peggy the Peg-Leg Ballerina languishes at home with her evil stepsisters, dreaming of a life on the stage. Dancing Pixies ..."
Casa de mi Padre,Comedy,"Comedy, Western","Scheming on a way to save their father's ranch, the Alvarez brothers find themselves in a war with Mexico's most feared drug lord."
Snow White and the Huntsman,Action,"Action, Adventure, Drama","In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen."
Macross Plus Movie Edition,Action,"Animation, Action, Drama",Movie compilation edition of the acclaimed OVA.
